673 851 672 866 47 859 360 949 918 281 | 29 717 910 314 919 987 339 111 423 426 | 370 156 935 259 558 903 581 770 540 882 | 894 964 978 168 711 822 303 791 659 393 | 483 41 681 780 644 386 869 778 598 373 | 766 845 280 371 98 505 929 585 773 75 | 293 945 399 22 112 297 662 178 891 260 | 703 679 999 724 726 609 164 6 54 375 | 261 43 668 383 763 385 775 166 368 884 | 302 725 70 441 731 684 382 975 572 474 
1 755 245 272 557 832 719 749 66 702 | 635 392 479 864 26 11 214 994 892 715 | 985 970 381 330 732 141 462 529 629 416 | 566 772 682 568 533 388 546 310 342 431 | 888 573 808 559 656 76 298 17 216 188 | 274 973 603 38 237 52 12 215 116 532 | 520 700 870 804 197 617 801 913 397 64 | 275 996 481 695 955 267 685 396 564 762 | 387 417 856 925 459 514 610 329 776 800 | 688 268 818 455 944 428 406 537 240 9 
2 31 604 160 335 264 277 25 938 83 | 258 701 980 219 503 235 992 201 591 578 | 223 361 858 765 283 998 555 120 666 677 | 947 734 969 157 934 117 660 343 942 988 | 454 512 452 74 162 398 353 707 311 508 | 172 229 796 793 875 134 8 721 748 62 | 890 195 516 146 622 712 924 819 727 414 | 102 115 857 986 466 504 448 761 403 138 | 912 716 252 296 897 352 199 962 686 649 | 73 5 788 408 618 211 425 299 209 401 
3 862 743 784 976 473 550 100 472 191 | 227 931 571 186 28 645 979 456 769 637 | 782 96 328 10 20 835 575 7 315 880 | 391 69 471 282 490 756 842 128 625 429 | 72 630 469 87 531 706 55 960 350 132 | 914 65 513 324 868 814 476 304 665 493 | 757 175 210 797 928 873 203 286 728 365 | 27 902 907 904 911 127 846 67 292 238 | 204 576 435 811 675 967 53 720 687 735 | 971 654 46 548 93 496 60 730 163 824 
4 437 855 187 561 509 230 831 853 492 | 16 843 909 226 344 549 91 543 937 570 | 740 99 699 256 63 779 744 291 451 415 | 693 402 602 530 332 966 241 621 991 177 | 394 192 457 200 611 551 14 787 627 636 | 333 119 669 104 217 714 460 242 308 254 | 750 181 577 600 968 380 263 346 906 590 | 523 737 692 39 562 453 148 809 362 642 | 196 130 852 933 24 233 318 82 498 768 | 144 544 35 710 334 89 632 754 193 40 
13 708 638 614 742 294 50 123 781 56 | 369 927 759 378 989 470 746 739 317 563 | 983 143 436 569 312 395 691 262 445 619 | 184 376 587 246 372 358 905 624 340 736 | 709 44 321 255 266 265 518 42 45 805 | 698 150 848 422 336 278 959 554 510 830 | 337 620 995 747 86 68 0 206 792 19 | 247 194 412 908 15 705 940 501 461 777 | 820 854 231 653 301 954 107 202 118 32 | 650 427 363 444 94 367 106 921 450 535 
18 916 696 440 257 133 689 61 823 741 | 607 174 438 664 419 273 517 565 109 951 | 411 218 480 915 284 542 965 522 790 663 | 443 536 135 348 92 489 841 828 90 567 | 161 963 356 599 877 764 507 338 936 85 | 447 534 813 932 173 36 671 982 631 896 | 499 758 899 475 815 467 491 579 680 580 | 950 658 751 803 752 482 676 78 51 126 | 834 88 487 420 729 167 595 657 364 306 | 243 249 817 545 690 893 185 23 874 786 
21 952 418 883 390 325 405 745 225 153 | 232 840 807 189 900 541 213 953 596 269 | 169 525 774 101 872 152 606 190 539 879 | 170 844 439 506 694 366 865 494 849 584 | 502 597 110 850 289 389 77 345 948 524 | 511 623 400 861 180 488 142 943 121 886 | 500 826 667 122 981 839 137 463 829 58 | 484 234 678 613 878 640 244 647 239 320 | 220 154 798 410 248 271 527 593 80 881 | 993 316 140 838 430 478 374 114 889 670 
997 771 147 322 574 236 341 124 179 833 | 652 612 648 49 295 626 48 171 279 588 | 145 836 222 923 434 105 326 785 136 413 | 552 643 313 528 713 837 183 347 458 961 | 182 592 424 95 655 723 251 733 946 810 | 421 125 103 149 738 586 583 108 464 806 | 276 941 753 827 165 556 323 605 646 601 | 628 354 984 958 821 990 930 384 917 379 | 799 974 212 783 228 176 287 898 871 253 | 802 956 331 97 285 449 307 446 207 608 
34 825 926 615 634 683 288 131 718 639 | 351 497 84 139 309 442 887 327 538 526 | 432 477 901 155 250 789 939 722 305 920 | 521 57 876 224 151 433 37 547 560 33 | 404 485 290 977 113 594 71 816 847 812 | 704 922 158 468 359 270 30 208 198 59 | 895 495 697 760 319 860 867 633 553 221 | 79 349 407 651 641 957 794 661 129 515 | 767 616 355 81 205 863 377 885 486 465 | 795 972 582 409 357 674 159 300 589 519 
